taken_at,tag,asset,downloads
"2026-08-04","v1.10.3","MrEditor-1.10.3.dmg",5
"2026-08-04","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-04","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-04","v1.10","MrEditor-1.10.dmg",1
"2026-08-04","v1.9","MrEditor-1.9.dmg",6
"2026-08-04","v1.8","MrEditor-1.8.dmg",4
"2026-08-04","v1.7.1","MrEditor-1.7.1.dmg",7
"2026-08-04","v1.7","MrEditor-1.7.dmg",9
"2026-08-04","v1.6","MrEditor-1.6.dmg",3
"2026-08-04","v1.5","MrEditor-1.5.dmg",2
"2026-08-04","v1.4","MrEditor-1.4.dmg",4
"2026-08-04","v1.3","MrEditor-1.3.dmg",9
"2026-08-04","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-04","v1.2","MrEditor-1.2.dmg",4
"2026-08-04","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-04","v1.1","MrEditor-1.1.dmg",2
"2026-08-04","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-04","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-04","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-04","v1.0","MrEditor-1.0.dmg",5
"2026-08-04","v0.9","MrEditor-0.9.dmg",3
"2026-08-04","v0.8","MrEditor-0.8.dmg",2
"2026-08-04","v0.7","MrEditor-0.7.dmg",7
"2026-08-04","v0.6","MrEditor-0.6.dmg",4
"2026-08-04","v0.5","MrEditor-0.5.dmg",1
"2026-08-04","v0.4","MrEditor-0.4.dmg",2
"2026-08-04","v0.3","MrEditor-0.3.dmg",3
"2026-08-04","v0.2","MrEditor-0.2.dmg",2
"2026-08-04","v0.1","MrEditor-0.1.dmg",1
"2026-08-05","v1.11.1","MrEditor-1.11.1.dmg",1
"2026-08-05","v1.11","MrEditor-1.11.dmg",1
"2026-08-05","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-05","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-05","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-05","v1.10","MrEditor-1.10.dmg",1
"2026-08-05","v1.9","MrEditor-1.9.dmg",6
"2026-08-05","v1.8","MrEditor-1.8.dmg",4
"2026-08-05","v1.7.1","MrEditor-1.7.1.dmg",7
"2026-08-05","v1.7","MrEditor-1.7.dmg",9
"2026-08-05","v1.6","MrEditor-1.6.dmg",3
"2026-08-05","v1.5","MrEditor-1.5.dmg",2
"2026-08-05","v1.4","MrEditor-1.4.dmg",4
"2026-08-05","v1.3","MrEditor-1.3.dmg",9
"2026-08-05","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-05","v1.2","MrEditor-1.2.dmg",4
"2026-08-05","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-05","v1.1","MrEditor-1.1.dmg",2
"2026-08-05","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-05","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-05","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-05","v1.0","MrEditor-1.0.dmg",5
"2026-08-05","v0.9","MrEditor-0.9.dmg",3
"2026-08-05","v0.8","MrEditor-0.8.dmg",2
"2026-08-05","v0.7","MrEditor-0.7.dmg",7
"2026-08-05","v0.6","MrEditor-0.6.dmg",4
"2026-08-05","v0.5","MrEditor-0.5.dmg",1
"2026-08-05","v0.4","MrEditor-0.4.dmg",2
"2026-08-05","v0.3","MrEditor-0.3.dmg",3
"2026-08-05","v0.2","MrEditor-0.2.dmg",2
